Namespace(alive_time=300, middlebox_name='Middlebox device')
Middlebox device
Middlebox device socket is created
Middlebox device socket is succesfully initialized and ready.
Middlebox device is listening...

Conneted with 127.0.0.1 : 56906
Conneted with 127.0.0.1 : 56907
     Receiving:   24 |        1557134669.9469285 |  56906 |    NORMAL | Guard
     Receiving:   34 |         1557134670.532015 |  56929 |    NORMAL | Sensor
     Receiving:   55 |         1557134670.709511 |  56907 |    NORMAL | Camera
     Receiving:   72 |         1557134674.940121 |  56906 |    NORMAL | Guard
     Receiving:   49 |        1557134676.0512657 |  56907 |    NORMAL | Camera
     Receiving:   69 |         1557134677.048327 |  56929 |    NORMAL | Sensor
     Receiving:   13 |         1557134679.444174 |  56906 |    NORMAL | Guard
     Receiving:   11 |        1557134681.6167946 |  56929 |    NORMAL | Sensor
     Receiving:   72 |         1557134681.670682 |  56907 |    NORMAL | Camera
     Receiving:   69 |        1557134683.8752263 |  56906 |    NORMAL | Guard
     Receiving:   49 |        1557134686.6996536 |  56907 |    NORMAL | Camera
     Receiving:   31 |        1557134687.5589662 |  56929 |    NORMAL | Sensor
     Receiving:   35 |        1557134689.0998745 |  56906 |    NORMAL | Guard
     Receiving:   61 |        1557134692.4646428 |  56907 |    NORMAL | Camera
     Receiving:   63 |         1557134692.471622 |  56929 |    NORMAL | Sensor
     Receiving:   53 |        1557134693.8357515 |  56906 |    NORMAL | Guard
     Receiving:   26 |         1557134696.784168 |  56929 |    NORMAL | Sensor
     Receiving:   91 |        1557134697.6605349 |  56907 |    NORMAL | Camera
     Receiving:   49 |        1557134697.9047954 |  56906 |    NORMAL | Guard
     Receiving:   53 |         1557134699.191293 |  56929 |    NORMAL | Sensor
     Receiving:   50 |        1557134703.5040183 |  56929 |    NORMAL | Sensor
     Receiving:   30 |        1557134703.6617572 |  56906 |    NORMAL | Guard
     Receiving:   86 |        1557134705.2460842 |  56907 |    NORMAL | Camera
     Receiving:   34 |        1557134708.6953998 |  56906 |    NORMAL | Guard
     Receiving:   97 |         1557134709.662184 |  56907 |    NORMAL | Camera
     Receiving:    4 |        1557134713.0632732 |  56907 |    NORMAL | Camera
     Receiving:   20 |        1557134714.5914967 |  56906 |    NORMAL | Guard
