Namespace(alive_time=300, middlebox_name='Middlebox device')
Middlebox device
Middlebox device socket is created
Middlebox device socket is succesfully initialized and ready.
Middlebox device is listening...

Conneted with 127.0.0.1 : 56980
Conneted with 127.0.0.1 : 56982
       Sending:   22 |        1557135245.2535644 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   22 |        1557135245.2535644 |  56982 | ENCRYPTED | Guard
     Receiving:   36 |         1557135248.019518 |  56986 |    NORMAL | Camera
     Receiving:    8 |        1557135248.8852453 |  56984 |    NORMAL | Sensor
     Receiving:   67 |         1557135248.913172 |  56980 |    NORMAL | Guard
     Receiving:    0 |         1557135249.486762 |  56982 |    NORMAL | Smartwatch
     Receiving:   69 |         1557135251.928349 |  56986 |    NORMAL | Camera
     Receiving:   28 |        1557135253.4446318 |  56984 |    NORMAL | Sensor
     Receiving:    1 |         1557135253.744066 |  56982 | SENSITIVE | Smartwatch
       Sending:    1 |         1557135253.744066 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:    1 |         1557135253.744066 |  56982 | ENCRYPTED | Guard
     Receiving:   73 |         1557135255.078396 |  56980 |    NORMAL | Guard
     Receiving:   74 |        1557135257.0217192 |  56986 |    NORMAL | Camera
     Receiving:   40 |        1557135259.6089427 |  56982 | SENSITIVE | Smartwatch
       Sending:   40 |        1557135259.6089427 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   66 |        1557135259.7706625 |  56984 |    NORMAL | Sensor
     Receiving:    0 |        1557135259.8947825 |  56980 |    NORMAL | Guard
     Receiving:   40 |        1557135259.6089427 |  56982 | ENCRYPTED | Guard
     Receiving:    1 |        1557135261.4497755 |  56986 |    NORMAL | Camera
     Receiving:   99 |        1557135264.3807085 |  56982 | SENSITIVE | Smartwatch
       Sending:   99 |        1557135264.3807085 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   95 |        1557135264.6511073 |  56980 |    NORMAL | Guard
     Receiving:    7 |        1557135265.0763502 |  56984 |    NORMAL | Sensor
     Receiving:   99 |        1557135264.3807085 |  56982 | ENCRYPTED | Guard
     Receiving:   69 |        1557135266.0929794 |  56986 |    NORMAL | Camera
     Receiving:   64 |         1557135268.483718 |  56980 |    NORMAL | Guard
     Receiving:   82 |        1557135268.7920144 |  56982 | SENSITIVE | Smartwatch
       Sending:   82 |        1557135268.7920144 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   82 |        1557135268.7920144 |  56982 | ENCRYPTED | Guard
     Receiving:   93 |         1557135269.588579 |  56986 |    NORMAL | Camera
     Receiving:    7 |        1557135271.2154627 |  56984 |    NORMAL | Sensor
     Receiving:   12 |        1557135272.1303496 |  56982 |    NORMAL | Smartwatch
     Receiving:   20 |         1557135273.120364 |  56980 |    NORMAL | Guard
     Receiving:    2 |        1557135274.1640954 |  56986 |    NORMAL | Camera
     Receiving:   74 |         1557135275.837274 |  56984 |    NORMAL | Sensor
     Receiving:   51 |        1557135275.9700105 |  56980 |    NORMAL | Guard
     Receiving:    8 |         1557135277.601831 |  56982 |    NORMAL | Smartwatch
     Receiving:   23 |        1557135280.1442335 |  56986 |    NORMAL | Camera
     Receiving:   99 |        1557135280.4334617 |  56980 |    NORMAL | Guard
     Receiving:   11 |         1557135281.696716 |  56982 | SENSITIVE | Smartwatch
       Sending:   11 |         1557135281.696716 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   13 |        1557135281.8771727 |  56984 |    NORMAL | Sensor
     Receiving:   11 |         1557135281.696716 |  56982 | ENCRYPTED | Guard
     Receiving:   26 |        1557135285.0485032 |  56980 |    NORMAL | Guard
     Receiving:   78 |        1557135285.9223258 |  56986 |    NORMAL | Camera
     Receiving:   43 |        1557135287.7212157 |  56982 | SENSITIVE | Smartwatch
       Sending:   43 |        1557135287.7212157 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   72 |        1557135287.8887634 |  56984 |    NORMAL | Sensor
     Receiving:   43 |        1557135287.7212157 |  56982 | ENCRYPTED | Guard
     Receiving:   67 |        1557135290.0141368 |  56986 |    NORMAL | Camera
     Receiving:   40 |         1557135290.283475 |  56980 |    NORMAL | Guard
     Receiving:   56 |        1557135292.7749372 |  56982 | SENSITIVE | Smartwatch
       Sending:   56 |        1557135292.7749372 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   56 |        1557135292.7749372 |  56982 | ENCRYPTED | Guard
     Receiving:   67 |        1557135294.9814231 |  56984 |    NORMAL | Sensor
     Receiving:   47 |        1557135296.3936226 |  56986 |    NORMAL | Camera
     Receiving:   76 |        1557135298.0781972 |  56980 |    NORMAL | Guard
     Receiving:   19 |        1557135298.5870595 |  56982 | SENSITIVE | Smartwatch
       Sending:   19 |        1557135298.5870595 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   19 |        1557135298.5870595 |  56982 | ENCRYPTED | Guard
     Receiving:   97 |        1557135299.8142042 |  56984 |    NORMAL | Sensor
     Receiving:   22 |        1557135300.2086146 |  56986 |    NORMAL | Camera
     Receiving:   85 |        1557135303.0252056 |  56980 |    NORMAL | Guard
     Receiving:   81 |        1557135303.7406175 |  56982 | SENSITIVE | Smartwatch
       Sending:   81 |        1557135303.7406175 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   81 |        1557135303.7406175 |  56982 | ENCRYPTED | Guard
     Receiving:   15 |        1557135304.8994358 |  56984 |    NORMAL | Sensor
     Receiving:   57 |        1557135305.0501635 |  56986 |    NORMAL | Camera
     Receiving:   30 |        1557135307.4872043 |  56982 | SENSITIVE | Smartwatch
       Sending:   30 |        1557135307.4872043 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   62 |        1557135308.2463272 |  56980 |    NORMAL | Guard
     Receiving:   30 |        1557135307.4872043 |  56982 | ENCRYPTED | Guard
     Receiving:   53 |         1557135309.239406 |  56984 |    NORMAL | Sensor
     Receiving:   21 |        1557135310.8365335 |  56986 |    NORMAL | Camera
     Receiving:   16 |        1557135312.7124388 |  56980 |    NORMAL | Guard
     Receiving:   68 |        1557135313.1071484 |  56982 | SENSITIVE | Smartwatch
       Sending:   68 |        1557135313.1071484 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   87 |        1557135314.0292292 |  56986 |    NORMAL | Camera
     Receiving:   68 |        1557135313.1071484 |  56982 | ENCRYPTED | Guard
     Receiving:   30 |         1557135314.414358 |  56984 |    NORMAL | Sensor
     Receiving:   81 |        1557135318.0745683 |  56982 | SENSITIVE | Smartwatch
       Sending:   81 |        1557135318.0745683 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   48 |          1557135318.78625 |  56984 |    NORMAL | Sensor
     Receiving:   18 |        1557135318.8570259 |  56980 |    NORMAL | Guard
     Receiving:   81 |        1557135318.0745683 |  56982 | ENCRYPTED | Guard
     Receiving:   72 |        1557135319.4824393 |  56986 |    NORMAL | Camera
     Receiving:   10 |        1557135321.0804918 |  56982 |    NORMAL | Smartwatch
     Receiving:   19 |        1557135324.0154736 |  56984 |    NORMAL | Sensor
     Receiving:   36 |        1557135324.2081375 |  56980 |    NORMAL | Guard
     Receiving:   56 |        1557135325.1564813 |  56986 |    NORMAL | Camera
     Receiving:   32 |        1557135326.2942746 |  56982 |    NORMAL | Smartwatch
     Receiving:   35 |        1557135328.0687592 |  56980 |    NORMAL | Guard
     Receiving:   46 |        1557135329.3484402 |  56984 |    NORMAL | Sensor
     Receiving:   21 |         1557135330.851754 |  56986 |    NORMAL | Camera
     Receiving:   70 |        1557135331.3024318 |  56982 |    NORMAL | Smartwatch
     Receiving:   62 |        1557135331.8654866 |  56980 |    NORMAL | Guard
     Receiving:   39 |        1557135333.5689878 |  56984 |    NORMAL | Sensor
     Receiving:    6 |        1557135335.3923178 |  56986 |    NORMAL | Camera
     Receiving:    5 |        1557135336.1842122 |  56982 |    NORMAL | Smartwatch
     Receiving:   38 |         1557135336.488438 |  56980 |    NORMAL | Guard
     Receiving:   72 |        1557135338.6837754 |  56984 |    NORMAL | Sensor
     Receiving:   78 |        1557135339.6885195 |  56986 |    NORMAL | Camera
     Receiving:   48 |        1557135340.2647316 |  56982 | SENSITIVE | Smartwatch
       Sending:   48 |        1557135340.2647316 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   53 |        1557135340.5778522 |  56980 |    NORMAL | Guard
     Receiving:   48 |        1557135340.2647316 |  56982 | ENCRYPTED | Guard
     Receiving:   64 |         1557135342.671044 |  56984 |    NORMAL | Sensor
     Receiving:   23 |         1557135344.853202 |  56980 |    NORMAL | Guard
     Receiving:   59 |        1557135345.8704512 |  56982 | SENSITIVE | Smartwatch
       Sending:   59 |        1557135345.8704512 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   72 |        1557135346.7568033 |  56986 |    NORMAL | Camera
     Receiving:   59 |        1557135345.8704512 |  56982 | ENCRYPTED | Guard
     Receiving:   64 |        1557135347.8129733 |  56984 |    NORMAL | Sensor
     Receiving:   66 |         1557135350.071754 |  56980 |    NORMAL | Guard
     Receiving:   82 |        1557135350.7930617 |  56982 |    NORMAL | Smartwatch
     Receiving:   79 |        1557135351.0761924 |  56986 |    NORMAL | Camera
     Receiving:   17 |        1557135353.3128295 |  56984 |    NORMAL | Sensor
     Receiving:   92 |        1557135355.1261106 |  56982 | SENSITIVE | Smartwatch
       Sending:   92 |        1557135355.1261106 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   51 |        1557135355.5169027 |  56980 |    NORMAL | Guard
     Receiving:   92 |        1557135355.1261106 |  56982 | ENCRYPTED | Guard
     Receiving:   79 |        1557135356.7718084 |  56986 |    NORMAL | Camera
     Receiving:   24 |        1557135358.5971859 |  56984 |    NORMAL | Sensor
     Receiving:   68 |        1557135360.5291715 |  56980 |    NORMAL | Guard
     Receiving:   11 |        1557135361.0782032 |  56982 |    NORMAL | Smartwatch
     Receiving:   49 |        1557135361.6217563 |  56986 |    NORMAL | Camera
     Receiving:   20 |        1557135363.4929588 |  56984 |    NORMAL | Sensor
     Receiving:   24 |        1557135365.7473977 |  56986 |    NORMAL | Camera
     Receiving:   82 |         1557135365.922773 |  56980 |    NORMAL | Guard
     Receiving:   29 |        1557135366.7078125 |  56982 | SENSITIVE | Smartwatch
       Sending:   29 |        1557135366.7078125 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   29 |        1557135366.7078125 |  56982 | ENCRYPTED | Guard
     Receiving:   50 |        1557135368.7226613 |  56984 |    NORMAL | Sensor
     Receiving:   54 |         1557135370.546325 |  56980 |    NORMAL | Guard
     Receiving:   58 |         1557135371.917668 |  56986 |    NORMAL | Camera
     Receiving:    2 |        1557135372.5036807 |  56984 |    NORMAL | Sensor
     Receiving:   66 |        1557135372.5595324 |  56982 |    NORMAL | Smartwatch
     Receiving:   82 |        1557135375.9475193 |  56980 |    NORMAL | Guard
     Receiving:   29 |        1557135376.3829782 |  56986 |    NORMAL | Camera
     Receiving:    3 |         1557135378.047335 |  56984 |    NORMAL | Sensor
     Receiving:   57 |        1557135378.0742598 |  56982 | SENSITIVE | Smartwatch
       Sending:   57 |        1557135378.0742598 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   57 |        1557135378.0742598 |  56982 | ENCRYPTED | Guard
     Receiving:    2 |        1557135380.7526894 |  56980 |    NORMAL | Guard
     Receiving:    4 |        1557135381.2611694 |  56986 |    NORMAL | Camera
     Receiving:   10 |         1557135382.626904 |  56984 |    NORMAL | Sensor
     Receiving:   59 |        1557135384.3418798 |  56982 | SENSITIVE | Smartwatch
       Sending:   59 |        1557135384.3418798 |  56982 | SENSITIVE | Smartwatch (-> Guard)
     Receiving:   59 |        1557135384.3418798 |  56982 | ENCRYPTED | Guard
     Receiving:   49 |        1557135385.8951843 |  56980 |    NORMAL | Guard
     Receiving:   30 |         1557135386.465666 |  56984 |    NORMAL | Sensor
     Receiving:   98 |        1557135386.9026828 |  56986 |    NORMAL | Camera
     Receiving:   23 |         1557135388.815824 |  56982 |    NORMAL | Smartwatch
     Receiving:   97 |         1557135390.993047 |  56980 |    NORMAL | Guard
     Receiving:   54 |        1557135391.9198334 |  56984 |    NORMAL | Sensor
